config,inputs,kernels,mask,outputs
128x128_ic16_oc64,15,7,0,0
128x128_ic64_oc32,63,15,0,0
128x128_ic32_oc128,31,31,0,0
64x64_ic128_oc64,127,63,0,0
64x64_ic64_oc256_a,63,127,0,0
64x64_ic256_oc64_a,255,127,0,0
64x64_ic64_oc256_b,63,127,0,0
64x64_ic256_oc64_b,255,127,0,0
64x64_ic64_oc256_c,63,127,0,0
32x32_ic256_oc96,255,191,0,0
32x32_ic96_oc144,95,107,0,0
32x32_ic144_oc96,143,107,0,0
32x32_ic96_oc384,95,287,0,0
16x16_ic384_oc128,383,383,0,0
16x16_ic128_oc192,127,191,0,0
16x16_ic192_oc128,191,191,0,0
16x16_ic128_oc512,127,511,0,0
